cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
12,cluster-senior-chat,PILIER,chat-senior-vieillissement,,Le chat senior : accompagner son chat qui vieillit,Chat senior : accompagner son vieillissement | Gus & Frost,"Les étapes de la vie, les signes discrets, le confort, le corps, le repos, le très grand âge : le guide complet pour accompagner un chat qui vieillit, avec le réflexe vétérinaire en fil rouge.","Votre chat ralentit doucement. Voici comment lire ces changements, adapter son quotidien et savoir quand faire examiner.","cluster-senior-chat, chat-senior, vieillissement-chat",articles/cluster-12-senior-chat/chat-senior-vieillissement.html,PROMPTS-IMAGES_CH12_senior-chat.md,15,3
12,cluster-senior-chat,SAT02,adapter-maison-chat-age,chat-senior-vieillissement,Adapter sa maison à un chat âgé : le guide du confort,Adapter sa maison au chat âgé : le confort | Gus & Frost,"Accès facilités, ressources rapprochées, chaleur et couchages moelleux, sols sûrs, litière à bord bas : comment aménager un logement pour un chat âgé, pièce par pièce.",Votre chat renonce peu à peu aux endroits en hauteur. Voici comment adapter votre logement pour lui épargner les gestes coûteux.,"cluster-senior-chat, amenagement-chat-age, confort-chat-senior",articles/cluster-12-senior-chat/adapter-maison-chat-age.html,PROMPTS-IMAGES_CH12_senior-chat.md,7,2
12,cluster-senior-chat,SAT05,alimentation-hydratation-chat-senior,chat-senior-vieillissement,Alimentation et hydratation du chat senior : faciliter le quotidien,Alimentation et hydratation du chat senior | Gus & Frost,"Points d'eau multipliés, alimentation humide, gamelles à bonne hauteur, repas fractionnés : comment faciliter le boire et le manger d'un chat âgé, le choix de l'aliment restant vétérinaire.",Un vieux chat boit souvent trop peu. Voici comment l'inviter à boire et rendre ses repas plus faciles pour un corps raidi.,"cluster-senior-chat, hydratation-chat, alimentation-chat-senior",articles/cluster-12-senior-chat/alimentation-hydratation-chat-senior.html,PROMPTS-IMAGES_CH12_senior-chat.md,4,2
12,cluster-senior-chat,SAT03,arthrose-chat-senior,chat-senior-vieillissement,L'arthrose du chat senior : la repérer et alléger son quotidien,Arthrose du chat senior : repérer les signes | Gus & Frost,"Très fréquente et pourtant presque invisible, l'arthrose du chat âgé se lit dans ses renoncements quotidiens plutôt que dans une boiterie. Comment la repérer et alléger chaque geste.",Un chat arthrosique ne boite presque jamais. Voici les signes discrets à repérer et les aménagements qui allègent ses gestes.,"cluster-senior-chat, arthrose-chat, douleur-chat-age",articles/cluster-12-senior-chat/arthrose-chat-senior.html,PROMPTS-IMAGES_CH12_senior-chat.md,6,2
12,cluster-senior-chat,SAT11,changements-comportement-chat-age,chat-senior-vieillissement,Les changements de comportement du chat âgé : que disent-ils ?,Comportement du chat âgé : ce qui change | Gus & Frost,"Agressivité nouvelle, cachettes, malpropreté, vocalises, besoin de contact modifié : chez un chat âgé, ces changements traduisent souvent une douleur ou une maladie à faire examiner.","Votre chat âgé n'est pas devenu grognon. Voici ce que ses changements de comportement peuvent traduire, et quoi faire ensuite.","cluster-senior-chat, comportement-chat-age, douleur-chat-senior",articles/cluster-12-senior-chat/changements-comportement-chat-age.html,PROMPTS-IMAGES_CH12_senior-chat.md,9,2
12,cluster-senior-chat,SAT10,confort-grand-age-fin-de-vie-chat,chat-senior-vieillissement,Accompagner un chat au très grand âge : le confort avant tout,Accompagner un chat au très grand âge | Gus & Frost,"Rapprocher l'essentiel, ajouter de la chaleur et du moelleux, garder les repères familiers, observer la qualité de vie jour après jour et en parler avec le vétérinaire, sans jamais juger seul.","Le très grand âge est une saison, pas une maladie. Voici les gestes simples qui rendent chaque journée plus douce à votre chat.","cluster-senior-chat, grand-age-chat, qualite-de-vie-chat",articles/cluster-12-senior-chat/confort-grand-age-fin-de-vie-chat.html,PROMPTS-IMAGES_CH12_senior-chat.md,5,2
12,cluster-senior-chat,SAT04,dysfonction-cognitive-chat-age,chat-senior-vieillissement,La dysfonction cognitive du chat âgé : reconnaître les signes,Dysfonction cognitive du chat âgé : les signes | Gus & Frost,"Désorientation, interactions modifiées, sommeil perturbé, malpropreté, vocalises nocturnes : lire la grille DISHA chez le chat âgé et pourquoi ces signes se font toujours examiner.",Votre vieux chat semble perdu ou miaule la nuit. Voici ce que ces signes peuvent traduire et pourquoi le vétérinaire seul tranche.,"cluster-senior-chat, dysfonction-cognitive-chat, vocalises-nocturnes-chat",articles/cluster-12-senior-chat/dysfonction-cognitive-chat-age.html,PROMPTS-IMAGES_CH12_senior-chat.md,8,2
12,cluster-senior-chat,SAT12,idees-recues-chat-senior,chat-senior-vieillissement,Les idées reçues sur le chat senior : ce que l'âge ne dit pas,Idées reçues sur le chat senior : le vrai | Gus & Frost,"« Il maigrit, il boit beaucoup, il dort tout le temps, il est devenu grognon » : pourquoi ces phrases rassurantes masquent souvent des signaux qui méritent un examen vétérinaire.",« C'est son âge » est la phrase qui trompe le plus. Voici les idées reçues sur le vieux chat et ce qu'elles masquent vraiment.,"cluster-senior-chat, idees-recues-chat, chat-age",articles/cluster-12-senior-chat/idees-recues-chat-senior.html,PROMPTS-IMAGES_CH12_senior-chat.md,7,2
12,cluster-senior-chat,SAT01,quand-chat-devient-senior,chat-senior-vieillissement,À partir de quand un chat est-il senior ?,À partir de quand un chat est-il senior ? | Gus & Frost,"Chaton, jeune adulte, mature de sept à dix ans, senior au-delà : les étapes de la vie du chat et les premiers signes discrets du vieillissement à repérer sans s'alarmer.","Le vieillissement d'un chat avance à pas feutrés. Voici les repères d'âge et les premiers signes à repérer, sans dramatiser.","cluster-senior-chat, age-chat, signes-vieillissement-chat",articles/cluster-12-senior-chat/quand-chat-devient-senior.html,PROMPTS-IMAGES_CH12_senior-chat.md,6,2
12,cluster-senior-chat,SAT06,sommeil-repos-chat-age,chat-senior-vieillissement,Le sommeil du chat âgé : repos paisible ou abattement ?,Sommeil du chat âgé : repos ou abattement ? | Gus & Frost,"Pourquoi un vieux chat dort davantage, ce qui fait un bon couchage, où le placer pour qu'il y accède sans effort, et comment distinguer un repos serein d'une léthargie à faire examiner.",Votre chat âgé dort de plus en plus. Voici comment lui offrir un vrai repos et repérer le moment où dormir devient un signal.,"cluster-senior-chat, sommeil-chat-age, couchage-chat-senior",articles/cluster-12-senior-chat/sommeil-repos-chat-age.html,PROMPTS-IMAGES_CH12_senior-chat.md,6,2
